date,startup,vertical,subvertical,city,investors,round,amount,Date
11/01/2016,koovs,ECommerce,Online Fashion Apparel Retailer,Gurgaon,"Nahata Family, Waheed Alli",Private Equity,44.82,2016-01-11
11/01/2016,wishup,Consumer Internet,Mobile app based Concierge Service,New Delhi,"500 Startups, Mato Peric, TracxnLabs",Seed Funding,0.0,2016-01-11
11/01/2016,freshmenu,Consumer Internet,Online / Mobile Food Ordering platform,Bangalore,"Zodius Capital, Lightspeed Venture Partners",Private Equity,136.95,2016-01-11
11/01/2016,savvymob,ECommerce,Last Minute Hotel Bookings mobile marketplace,Bangalore,"TV Mohandas Pai, LetsVenture",Seed Funding,8.3,2016-01-11
11/01/2016,fashionablyin,Consumer Internet,Mobile based Geo-target Fashion Marketplace,Mumbai,Ranjan Mahtani,Seed Funding,0.0,2016-01-11
12/01/2016,shopclues,ECommerce,ECommerce Marketplace,Gurgaon,"GIC, Tiger Global Management, Nexus Venture Partners",Private Equity,830.0,2016-01-12
12/01/2016,hikemessenger,Consumer Internet,P2P Messaging Service,New Delhi,"Matt Mullenweg, Adam D\\xe2\\x80\\x99Angelo, Aditya Agarwal,\\xc2\\xa0 Ruchi Sanghvi & Others",Private Equity,0.0,2016-01-12
12/01/2016,ibusnetworks,Technology,Next Generation in-building connectivity,Bangalore,"Vallabh Bhanshali, N Squared Management LLC, Jagdish & Sandeep Mehta Family Office",Private Equity,19.09,2016-01-12
12/01/2016,happy2refer,Consumer Internet,Mobile based Referral Platform,Mumbai,"Equity Crest, Vinners, Sparknext",Seed Funding,2.08,2016-01-12
13/01/2016,cartrade,Consumer Internet,Auto Classifieds Portal,Mumbai,"Temasek Holdings, March Capital, Warburg Pincus",Private Equity,1203.5,2016-01-13
13/01/2016,rentomo,Consumer Internet,peer-to-peer renting Marketplace,Bangalore,Shiva Ashok & Other unnamed investors,Seed Funding,0.83,2016-01-13
13/01/2016,roder,Consumer Internet,inter-city cab aggregator,New Delhi,Unicorn India Ventures,Seed Funding,1.99,2016-01-13
13/01/2016,bucker,Consumer Internet,Food Ordering Mobile App,Hyderabad,"50k Ventures, Munish Jauhar, Pulkit Jain, Rohit Narang",Seed Funding,0.0,2016-01-13
13/01/2016,care24,Healthcare,Professional Health Services Platform,Mumbai,"SAIF Partners, India Quotient",Private Equity,33.2,2016-01-13
13/01/2016,obino,Healthcare,Weigh Loss Coaching,Mumbai,RoundGlass Partners,Private Equity,0.0,2016-01-13
14/01/2016,snapshopr,Consumer Internet,Visual Search & Image Recognition Platform,Bangalore,Amod Malviya,Seed Funding,0.0,2016-01-14
14/01/2016,buildkar,ECommerce,Construction Material Marketplace,Bangalore,"Mustafa Wajid, Umang Kumar & Others",Seed Funding,0.0,2016-01-14
14/01/2016,orahi,Consumer Internet,Carpooling Mobile App,Gurgaon,Indian Angel Network,Seed Funding,4.32,2016-01-14
14/01/2016,zapr,Technology,TV to Mobile audience Platform,Gurgaon,"Flipkart, Saavn, Micromax, Dhiraj Rajaram, Ambiga Dhiraj, Dinesh Agarwal, Samir Bangara, Sanjay Nath, Arihant Patni",Seed Funding,0.0,2016-01-14
15/01/2016,remidio,Healthcare,Healthcare Product Manufacturer,Bangalore,Cipher-Plexus Capital Advisors & Indian HNIs,Private Equity,0.0,2016-01-15
15/01/2016,fitso,Consumer Internet,Fitness related Social Networking App & Forum,Gurgaon,"Varun Khurana, Samar Singla, Vinay Bansal,",Seed Funding,1.66,2016-01-15
15/01/2016,evibein,Consumer Internet,Party Hall Booking platform,Bangalore,"Hyderabad Angels, Lalit Mangal,\\xc2\\xa0 Vikas Malpani, Gaurav Bhalotia, LV Prasad",Seed Funding,0.0,2016-01-15
15/01/2016,zoctr,Consumer Internet,healthcare aggregator platform,Mumbai,Times Group,Seed Funding,0.0,2016-01-15
15/01/2016,jobick,Consumer Internet,Mobile app based Job Search,Noida,Abhinav Mathur,Seed Funding,0.0,2016-01-15
16/01/2016,plick,Consumer Internet,Instant Content Transfer Mobile App,Mumbai,Sanjay Mehta,Seed Funding,0.0,2016-01-16
18/01/2016,voicefriends,Consumer Internet,Dating & Singles Chat Platform,Mumbai,Huzaifa Khorakiwala,Seed Funding,0.0,2016-01-18
18/01/2016,kartrocket,Consumer Internet,SAAS DIY\\xc2\\xa0 ECommerce Platform,New Delhi,"Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding, 500 Startups",Private Equity,49.8,2016-01-18
19/01/2016,swiggy,Consumer Internet,Online/Mobile food ordering platform,Bangalore,"Harmony Partners, RB Investments & existing investors",Private Equity,290.5,2016-01-19
19/01/2016,tinystep,Consumer Internet,Parenting Social Network,Bangalore,Flipkart,Seed Funding,0.0,2016-01-19
19/01/2016,cashkaro,Consumer Internet,Coupon & Cashback platform,Gurgaon,Ratan Tata,Private Equity,0.0,2016-01-19
19/01/2016,gameezop,Consumer Internet,Casual Gaming platform,New Delhi,Anand Chandrasekaran & Others,Seed Funding,0.0,2016-01-19
19/01/2016,dailyobjects,ECommerce,Mobile Accessories etailer,New Delhi,"Unilazer Fund,\\xc2\\xa0 Phanindra Sama, Peyush Bansal",Private Equity,11.62,2016-01-19
19/01/2016,indusos,Technology,Local language Mobile OS,Mumbai,"Omidyar Network,",Private Equity,41.5,2016-01-19
19/01/2016,collegedunia,Consumer Internet,Educational College Search platform,New Delhi,Umang Kumar,Seed Funding,3.69,2016-01-19
19/01/2016,villgro,Finance,Social Business Incubator & Fund,Chennai,"Lemelson Foundation, Michael and Susan Dell Foundation",Private Equity,29.05,2016-01-19
20/01/2016,reddoorz,Consumer Internet,Budget Accomodation Aggregator,New Delhi,500 Startups,Private Equity,0.0,2016-01-20
20/01/2016,industrybuying,ECommerce,B2B Industrial Goods Marketplace,New Delhi,Trifecta Capital,Private Equity,14.94,2016-01-20
20/01/2016,justbuylive,ECommerce,B2B Marketplace for Distributors,Mumbai,Alpha Capital,Private Equity,166.0,2016-01-20
20/01/2016,imbesharam,ECommerce,Adult Products Etailers,New Delhi / US,Undisclosed US Based Investors,Private Equity,33.2,2016-01-20
20/01/2016,moodoo,Consumer Internet,Social Meeting organizer App,Mumbai / UK,Sa\\xc3\\xafd Business School Seed Fund.,Seed Funding,0.33,2016-01-20
20/01/2016,saraldesigns,Healthcare,Women Hygiene Product Manufacturer,Mumbai,"Farooq Adam, Ambi Parameswaran,",Seed Funding,0.0,2016-01-20
21/01/2016,firstcry,ECommerce,Kids Focused eTailer,Pune,Ratan Tata,Private Equity,0.0,2016-01-21
21/01/2016,fisdom,Consumer Internet,Personal Finance Mobile App,Bangalore,Rob Chandra,Seed Funding,4.15,2016-01-21
21/01/2016,easypolicy,Consumer Internet,Online insurance policy aggregator,Noida,Unilazer Ventures,Private Equity,18.26,2016-01-21
21/01/2016,housingcom,Consumer Internet,Online Real Estate Portal,Mumbai,SoftBank Corp,Private Equity,124.5,2016-01-21
21/01/2016,creo,Technology,Smartphone OS Developer,Bangalore,"Sequoia Capital, Beenext Ventures, India Quotient, Anand Chandrasekaran",Private Equity,24.9,2016-01-21
22/01/2016,shabdanagari,Consumer Internet,Hindi Language Social Networking Portal,Kanpur,Kanpur Angels & Others,Seed Funding,1.66,2016-01-22
22/01/2016,little,Consumer Internet,Deal Discovery App,Bangalore,GIC,Private Equity,0.0,2016-01-22
22/01/2016,snapbizz,ECommerce,Mobile based Retail Market Ecosystem,Bangalore,"Jungle Ventures, Taurus Value Creation, Konly Venture, Blume Ventures",Private Equity,59.76,2016-01-22
22/01/2016,qlivery,Consumer Internet,on-demand concierge services,Gurgaon,Chandigarh Angels Funding,Seed Funding,0.0,2016-01-22
22/01/2016,plexusmd,Consumer Internet,Social Network for Healthcare Professionals,Ahmedabad,"Arihant Patni, Avnish Mehra, Pranay Adhvaryu, Ravi Sampat",Seed Funding,0.0,2016-01-22
22/01/2016,silvan,Technology,Home Automation & Security Solutions,Bangalore,The Chennai Angels,Seed Funding,4.27,2016-01-22
22/01/2016,eps,Technology,Electronic Payments Solution Company,Mumbai,APIS Partners,Private Equity,290.5,2016-01-22
22/01/2016,qubole,Technology,Enterprise Cloud Based Data Processing,Bangalore,"Institutional Venture Partners, Norwest Venture Partners, Lightspeed Venture Partners, CRV",Private Equity,249.0,2016-01-22
22/01/2016,gajty,Healthcare,Salons & Spa Chain,Gurgaon,Purvi Ventures,Seed Funding,0.0,2016-01-22
25/01/2016,siftr,Consumer Internet,Photography curation & Aggregator platform,Mumbai,Venture Catalysts,Seed Funding,1.25,2016-01-25
25/01/2016,power2sme,Consumer Internet,SME Online Buying Hub,Gurgaon,"Nandan Nilekani, Accel Partners, Kalaari Capital and Inventus Capital",Private Equity,174.3,2016-01-25
25/01/2016,skycandle,ECommerce,Home D\\xc3\\xa9cor Product etailer,New Delhi,GPA group,Private Equity,0.0,2016-01-25
27/01/2016,teaboxcom,ECommerce,Specialty Tea ETailer,Siliguri,Ratan Tata,Private Equity,0.0,2016-01-27
27/01/2016,buildzar,ECommerce,Construction Material ETailer,Gurgaon,Puneet Dalmia,Private Equity,33.2,2016-01-27
27/01/2016,applicate,Technology,"Sales, Market, Distribution & Data Analytics Platform",Bangalore,Undisclosed investors,Seed Funding,8.3,2016-01-27
27/01/2016,whatsonrent,ECommerce,Online Rental Marketplace,Bangalore,Lalit Mangal & Others,Seed Funding,0.0,2016-01-27
28/01/2016,zebiyettolaunch,Technology,Data Intelligence & Analytics,Hyderabad,Un disclosed investors,Seed Funding,8.3,2016-01-28
28/01/2016,truce,FMCG,Vegetables & Fruits Supply Chain,Mumbai,"Anupam Mittal, Amit Gupta, Utsav Somani, Neeraj Goenka, Farooq Adam Mukadam",Seed Funding,3.07,2016-01-28
28/01/2016,justdoc,Consumer Interne,Medical Video Consultation platform,Bangalore,"TV Mohandas Pai, Mohit Saxena, Raghunandan G, Singapore Angel Network, TracxnLabs",Seed Funding,0.0,2016-01-28
28/01/2016,myeglu,Technology,Connected Smart Home Solutions,Bangalore,Foxconn Technology Group & Others,Seed Funding,0.0,2016-01-28
29/01/2016,bitgiving,Consumer Internet,Crowd Funding Platform,New Delhi,"Harminder Sahni, Krishna Mehra, Sanjay Bakshi",Seed Funding,0.0,2016-01-29
29/01/2016,qriyo,Consumer Internet,Online Fitness & Educational information Aggregator,Jodhpur,Idein Ventures,Seed Funding,1.33,2016-01-29
29/01/2016,now,Consumer Internet,Rental Bike Aggregator App,Noida,Maple Capital Advisors,Seed Funding,0.0,2016-01-29
29/01/2016,aisle,Consumer Internet,Indians focused Matchmaking App,Bangalore,"TermSheet, ah! Ventures",Seed Funding,1.54,2016-01-29
29/01/2016,freshmenu,Consumer Internet,Fresh Food Delivery platform,Bangalore,"Zodius Technology Fund, Lightspeed Venture Partners",Private Equity,141.1,2016-01-29
29/01/2016,truebil,ECommerce,Online marketplace for cars,Mumbai,"Kalaari Capital, Inventus Capital, Tekton Ventures, Kae Capital",Private Equity,42.74,2016-01-29
29/01/2016,raremedia,Technology,Mobile & Cloud based App developer,New Delhi,Info Edge (India) Ltd,Private Equity,9.13,2016-01-29
29/01/2016,tinmen,Consumer Internet,Food Delivery Platform,Hyderabad,Lead Angel Network,Seed Funding,0.0,2016-01-29
29/01/2016,coding,Technology,Coding Skill Showcase & Resume Builder,Hyderabad,Vineet Nalla,Seed Funding,0.0,2016-01-29
30/01/2016,findurclass,Consumer Internet,Hobby & Activity Class Aggregator,Mumbai,"Amit Patni, Anirudh Damani, Samir Shah",Seed Funding,0.0,2016-01-30
30/01/2016,designbids,Consumer Internet,Interior Design Marketplace,New Delhi,Indian Angel Network,Seed Funding,0.0,2016-01-30
01/12/2015,collegedekho,Online Education Information platform,,Jaipur,GirnarSoft,Seed Funding,8.3,2015-12-01
01/12/2015,blackwhiteorangebrands,Brand Licensing Startup,,Mumbai,YouWeCan Ventures,Seed Funding,0.0,2015-12-01
01/12/2015,biteclub,Gourmet Food Discovery & Delivery platform,,Gurgaon,growX ventures,Private Equity,0.0,2015-12-01
01/12/2015,patellogistics,Transportation & Logistics Platform,,Mumbai,Frontline Strategy,Private Equity,46.48,2015-12-01
01/12/2015,wigzo,Enterprise Marketing Automation platform,,New Delhi,"Aarin Capital Partners, TV Mohandas Pai",Seed Funding,4.15,2015-12-01
01/12/2015,godofhospitals,Digital Healthcare,,New Delhi,Pankaj Gupta,Seed Funding,16.6,2015-12-01
02/12/2015,roomstonite,Last Minute Hotel Booking App,,Bangalore,"Lashit Sanghvi, Nikhil Vora, Venkat Vardhan,Mohammed Bin Abdul Rehman Al Khalifa,\\xc2\\xa0 Ralph Berezan, Vissal Mathew,\\xc2\\xa0 Balamurali Krishna",Seed Funding,12.45,2015-12-02
02/12/2015,kaaryah,Womens Fashion Wear Portal,,New Delhi,"The Saha Fund, TV Mohandas Pai",Private Equity,0.0,2015-12-02
03/12/2015,anakage,Product Learning platform,,Bangalore,CIO Angel Network (CAN),Seed Funding,0.0,2015-12-03
03/12/2015,easykhaana,Online Food ordering & Delivery platform,,New Delhi,Undisclosed investors,Seed Funding,0.83,2015-12-03
03/12/2015,shuttl,App based Bus Pooling Services,,Gurgaon,"Sequoia Capital, Times Internet Ltd & One more Fund",Private Equity,166.0,2015-12-03
03/12/2015,eckovation,Social Learning Platform,,New Delhi,Chandigarh Angel Network (CAN),Seed Funding,0.0,2015-12-03
03/12/2015,fitcircle,Social Fitness platform,,Mumbai,Beerud Sheth and Ravi Mantha,Seed Funding,0.0,2015-12-03
04/12/2015,applop,On Demand Mobile app developer,,Kolkata,GHV Accelerator,Seed Funding,0.83,2015-12-04
04/12/2015,carpm,Car Maintenance & Management mobile app,,Gurgaon,GHV Accelerator,Seed Funding,0.83,2015-12-04
04/12/2015,ndtvweddingportal,Online Wedding Marketplace,,New Delhi,CerraCap,Private Equity,166.0,2015-12-04
04/12/2015,splitkart,Splitting Bills Mobile App,,New Delhi,"Rajesh Sawhney, Anupam Mittal, Dinesh Agarwal, Gaurav Gupta,",Seed Funding,0.0,2015-12-04
07/12/2015,zenatix,IOT Energy Management Analytics platform,,Gurgaon,Blume Ventures,Private Equity,0.0,2015-12-07
07/12/2015,customfurnish,Custom Made furniture e-tailer,,Hyderabad,Agnus Capital,Private Equity,37.35,2015-12-07
07/12/2015,faasos,QSR Chain,,Pune,"ru-Net, Sequoia Capital,\\xc2\\xa0 Lightbox Ventures",Private Equity,249.0,2015-12-07
07/12/2015,vlurn,eLearning platform,,Mumbai,Vidyadhar Sarfare,Seed Funding,0.0,2015-12-07
07/12/2015,leafwearables,Smart Safety Wearable Devices,,New Delhi,"Ajeet Khurana Jinesh Shah, Vikram Chachra, Dr. Aniruddha Malpani",Seed Funding,2.08,2015-12-07
07/12/2015,coolshare,Cab Sharing service Mobile app,,Mumbai,Gopal Aggarwal,Seed Funding,0.83,2015-12-07
08/12/2015,mficient,Cloud Enterprise Mobility Platform,,New Delhi,Undisclosed investors,Seed Funding,0.0,2015-12-08
08/12/2015,heybiz,Online Shopping Assistant Mobile app,,New Delhi,Shopclues,Seed Funding,0.0,2015-12-08
08/12/2015,yumist,Home Cooked Food Order & Delivery platform,,Gurgaon,"Unilazer Ventures, Orios Venture Partners, Steven Lurie",Private Equity,16.6,2015-12-08
09/12/2015,jigsawacademy,Online School for Analytics learning,,Bangalore,Manipal Global Education Services,Private Equity,24.9,2015-12-09
09/12/2015,joehukum,Chat based personal Assistant App,,Gurgaon,"TracxnLabs, Jitendra Gupta, Prashant Tandon",Seed Funding,0.0,2015-12-09
09/12/2015,voxweb,Picture creation & Social mobile app,,Mumbai,Undisclosed Investor,Seed Funding,2.9,2015-12-09
09/12/2015,ayefinance,Nonbanking finance company,,New Delhi,"SAIF Partners, Accion",Private Equity,24.9,2015-12-09
09/12/2015,jumbobasket,eCommerce returns etailer,,Chandigarh,Chandigarh Angels Network,Seed Funding,0.0,2015-12-09
10/12/2015,blackbuck,Online Freight Services Aggregator,,Bangalore,"Tiger Global Management, Yuri Milner, Apoletto, Accel Partners, Flipkart",Private Equity,207.5,2015-12-10
10/12/2015,homestudio,Online Branded Furniture etailer,,Bangalore,Bren Corporation,Private Equity,41.5,2015-12-10
10/12/2015,prophesee,Digital Analytics Platform,,New Delhi,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,4.15,2015-12-10
10/12/2015,i2e1,Internet Network Infrastructure Services,,New Delhi,GrowX Ventures,Seed Funding,4.15,2015-12-10
10/12/2015,holisollogistics,Supply Chain & Logistics Solutions,,New Delhi,CLSA Capital Partners ARIA IV Funds,Private Equity,83.0,2015-12-10
10/12/2015,staysimpleresorts,Holiday Resort Chain,,Bangalore,"Mr. Sudhir & Ms. Shalini Sethi, Mr. Praveen Someshwar",Seed Funding,0.0,2015-12-10
10/12/2015,paynear,Mobile Point of Sale solutions,,Hyderabad,Mitesh Majithia,Private Equity,20.75,2015-12-10
10/12/2015,chillr,Peer-to-Peer Money Transfer & Recharge App,,Mumbai,"Sequoia Capital, Blume Ventures, Uniqorn Ventures and other",Private Equity,581.0,2015-12-10
11/12/2015,eureqa,Test Automation SAAS platform,,Hyderabad/USA,"Sashi Reddi, Gabriel Investments",Seed Funding,4.98,2015-12-11
11/12/2015,localcircles,Citizens Engagement Platform,,Noida,Anand Mahindra,Private Equity,0.0,2015-12-11
11/12/2015,getfocus,Indoor Navigation & Analytics Solutions,,Mumbai,Undisclosed investors,Seed Funding,0.0,2015-12-11
11/12/2015,urbanclap,Hyperlocal On-Demand Household Services platform,,Gurgaon,Ratan Tata,Private Equity,0.0,2015-12-11
11/12/2015,onlinerti,Online RTI application services,,Bangalore,"LetsVenture, Mohandas Pai",Seed Funding,1.25,2015-12-11
11/12/2015,powerstores,ECommerce Website Creation SAAS platform,,Goa,Extreme Venture Partners\\xc2\\xa0 William Bissell,Seed Funding,0.0,2015-12-11
11/12/2015,weddingzin,Wedding Venues & Vendors Marketplace,,Mumbai,"Rajan Anandan, Zoya Akhtar, Reema Kagati, Ruchi Narain, Amrish Kumar, Hrishikesh Parandekar",Seed Funding,8.3,2015-12-11
11/12/2015,intelligentinterfaces,Interface development platform for Government officials,,Bangalore,"Sachin Bansal, Binny Bansal",Seed Funding,0.0,2015-12-11
14/12/2015,capricoast,Modular Furnishings Marketplace,,Bangalore,"Accel Partners India, RB Investments",Private Equity,29.05,2015-12-14
14/12/2015,jetsetgo,Private Jet Bookings Marketplace,,Bangalore,Puneet Dalmia,Private Equity,0.0,2015-12-14
14/12/2015,cabsguru,Cab search Comparison & Booking platform,,New Delhi,Prashanth Ranganathan,Seed Funding,1.66,2015-12-14
14/12/2015,whoop,Performance Optimization Platform for athletes,,Boston,Infosys,Private Equity,24.9,2015-12-14
15/12/2015,bookeventz,Event Venue Booking Platform,,Mumbai,"Mumbai Angels, Singapore Angel Network, Zishaan Hayath",Seed Funding,0.0,2015-12-15
15/12/2015,dealstreetasia,Digital Media Platform,,Singapore,"Vijay Shekhar Sharma, Singapore Angels Network",Seed Funding,0.0,2015-12-15
15/12/2015,streamoid,visual search and discovery platform,,Bangalore / Palo Alto,Undisclosed,Seed Funding,8.3,2015-12-15
16/12/2015,housejoy,Home services marketplace,,Bangalore,"Amazon, Vertex Ventures, Qualcomm, Ru-Net Technology Partners, Matrix Partners",Private Equity,186.75,2015-12-16
16/12/2015,bluebirch,End to End reverse logistics Solution platform,,Bangalore,"Chicago Capital Ventures, Sanjay Mehta, Others",Seed Funding,16.6,2015-12-16
16/12/2015,meradoctor,Virtual Health consultation app,,Mumbai,Unilazer,Private Equity,9.96,2015-12-16
16/12/2015,stage3,Online Renting platform,,New Delhi,"Nisha Sharma, Puneet Dalmia, Balaji Prabhakar",Seed Funding,0.0,2015-12-16
17/12/2015,rivigo,Logistics Services Provider,,Gurgaon,SAIF Partners and others,Private Equity,249.0,2015-12-17
17/12/2015,springboard,Data Science & UX design Learning platform,,Bangalore,"Allen Blue, John Katzman, Naveen Tewari, Kartik Hosanagar, Kashyap Deorah, 500 Startups, Blue Fog Capital",Seed Funding,14.11,2015-12-17
17/12/2015,eatfresh,Online marketplace for Chef Meals,,Bangalore,Kalaari Capital,Private Equity,0.0,2015-12-17
18/12/2015,amperevehicles,Electric Bike Manufacturers,,Coimbatore,Kris Gopalakrishnan & Others,Seed Funding,9.96,2015-12-18
18/12/2015,focusdigit,ECommerce platform solutions,,New Delhi,Turning Ideas,Seed Funding,0.0,2015-12-18
18/12/2015,thenewsminute,Online Media Publication,,Bangalore,Quintillion Media,Seed Funding,0.0,2015-12-18
18/12/2015,cbrex,International Hiring Platform,,Mumbai / NY,"Prahlad Rao, Sundara Rajan, Vikram Chachra",Seed Funding,1.66,2015-12-18
21/12/2015,truckmandi,Logistics Service Provider Marketplace,,New Delhi,"Ritesh Dwivedy, Ramakant Sharma, Mount Nathan Advisors",Private Equity,16.6,2015-12-21
21/12/2015,peppertap,Hyperlocal\\xc2\\xa0 Grocery Delivery Service,,Gurgaon,Innoven Capital,Private Equity,33.2,2015-12-21
21/12/2015,koohsports,Sports Education Platform,,Mumbai,"TCS, HDFC, Faering Capital, Elevate Sports",Private Equity,16.6,2015-12-21
22/12/2015,rentongo,"Bike, Appliances Renting marketplace",,Bangalore,"Anand Chandrasekaran, Rajesh Sawhney, Kalpana Tatavarti, Shivanandan Pare",Seed Funding,0.0,2015-12-22
22/12/2015,industrybuying,Online Marketplace for Industrial Goods,,New Delhi,"Murugappa Group, TVS Group, Vellayan Subbiah, Arathi Krishna, Arun Venkatachalam",Seed Funding,0.0,2015-12-22
22/12/2015,zapr,Reward points mobile app,,Gurgaon,Dinesh Agarwal,Seed Funding,0.0,2015-12-22
22/12/2015,latestone,Mobile accessories online store,,Hyderabad,Palred Technologies Ltd,Private Equity,24.9,2015-12-22
22/12/2015,planetgogo,Content Discovery & reward points platform,,Gurgaon,HT Digital Media Holdings Ltd,Seed Funding,0.0,2015-12-22
22/12/2015,aryaai,Artificial Intelligence platform,,Mumbai,"YourNest Angel Fund, Venture Nursery",Private Equity,6.22,2015-12-22
22/12/2015,doctorinsta,Medical Consultation & Doctor appointment booking platform,,Gurgaon,"Rishi Parti, BrahmaX Ventures",Private Equity,4.15,2015-12-22
22/12/2015,mobiefit,Mobile Fitness App,,Goa,Medi Assist,Private Equity,8.3,2015-12-22
23/12/2015,lafalafa,"Digital Coupons, Deal & Cashback aggregator app",,Mumbai,Vectr Ventures,Private Equity,0.0,2015-12-23
23/12/2015,mechmocha,Mobile Game development & Design platform,,Bangalore,"Blume Ventures, Flipkart",Seed Funding,8.3,2015-12-23
23/12/2015,shotangcom,B2B eCommerce Marketplace,,Bangalore,"Exfinity Venture Partners, Unitus Impact Livelihoods Fund",Private Equity,41.5,2015-12-23
23/12/2015,cityfurnish,Furniture and appliances rental platform,,Gurgaon,Jitendra Gupta,Seed Funding,0.0,2015-12-23
24/12/2015,blackwhiteorange,B2B Merchandize platform,,Mumbai,Collaborative Licensing Ventures LLP,Seed Funding,2.51,2015-12-24
24/12/2015,kolabro,Real Estate focused Tech platform,,Gurgaon,"Umang Kumar, Ruchir Arora & others",Seed Funding,0.0,2015-12-24
24/12/2015,canvera,Photographer Online search & booking platform,,Bangalore,Info Edge (India) Ltd,Private Equity,18.26,2015-12-24
28/12/2015,townessentials,Grocery Delivery platform,,Bangalore,"Sharad Hegde, Girish Reddy, Siddharth Patil, Shrikant Patil",Seed Funding,8.3,2015-12-28
28/12/2015,bumper,Mobile Car Servicing appointment app,,Bangalore,SAIF Partners,Seed Funding,4.15,2015-12-28
29/12/2015,hotify,New Curation Mobile App,,Bangalore,Mahavir Pratap Sharma,Seed Funding,1.25,2015-12-29
29/12/2015,mobikwik,Mobile Wallet,,Gurgaon,"Sequoia Capital, Tree Line Asia, Innoven Capital",Private Equity,54.78,2015-12-29
30/12/2015,intelligentinterfaces,Interface development platform for Government officials,,Bangalore,Yuvraj Singh,Seed Funding,0.0,2015-12-30
02/11/2015,twigly,Online Food Ordering & Delivery platform,,Gurgaon,"Amit Gupta, Sahil Barua, Mukul Singhal, Tracxn Labs",Seed Funding,1.66,2015-11-02
02/11/2015,cityflo,Bus Aggregation and rental mobile app,,Mumbai,IDG Ventures,Seed Funding,6.22,2015-11-02
03/11/2015,findyahan,hyperlocal online Services platform,,Noida,Times Group Brand Capital,Private Equity,0.0,2015-11-03
03/11/2015,sabse,WiFi \xe2\x80\x93 first Cloud communication platform,,Mumbai,Ratan Tata,Private Equity,0.0,2015-11-03
03/11/2015,pokkt,Alternate Mobile Monetization platform,,Mumbai,"Segnel Venture, Shinji Kimura, Sundar Chanrai, JAFCO Asia, SingTel\\xe2\\x80\\x99s Innov8, Jungle Ventures, K Ganesh",Private Equity,41.5,2015-11-03
03/11/2015,oibanit,Online Food Ordering Marketplace,,Vadodara,"Varun Ahuja, Anubhav Verma",Seed Funding,1.25,2015-11-03
03/11/2015,stuffed,Quick Service Restaurant & Online Delivery,,Mumbai,Riqueza Capital,Seed Funding,3.2,2015-11-03
03/11/2015,deyorrooms,Budget Hotels Aggregator,,New Delhi,Dheeraj Jain & Others,Seed Funding,4.15,2015-11-03
03/11/2015,bidgely,Efficient Energy Management platform,,USA/India,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",Private Equity,137.78,2015-11-03
04/11/2015,shirsa,Digital Intelligent learning platform,,Mumbai,ah! Ventures,Seed Funding,2.08,2015-11-04
04/11/2015,paytunes,Voice Call incentivization mobile app,,New Delhi,CIO Angel Network,Seed Funding,0.0,2015-11-04
04/11/2015,yourdost,Online Counselling and psychological support platform,,Gwalior,"Phanindra Sama, Aprameya Radhakrishna, Aneesh Reddy, Neeraj Jawalkar, Sanjay Anandaram, Pavan Ongole, Venk Krishnan",Seed Funding,3.32,2015-11-04
05/11/2015,bookmybai,Domestic Help Aggregation platform,,Mumbai,Vineel Nalla & Others,Seed Funding,1.25,2015-11-05
05/11/2015,myindianstay,Home Stay & room rentals platform,,Goa,Undisclosed investors,Seed Funding,1.66,2015-11-05
05/11/2015,bobble,Selfie Mobile App,,New Delhi,SAIF Partners & others,Private Equity,0.0,2015-11-05
06/11/2015,repup,Online Reputation Management Platform,,Gurgaon,Indian Angel Network,Seed Funding,0.0,2015-11-06
06/11/2015,satvacart,Online Grocery platform,,Gurgaon,Undisclosed HNIs,Private Equity,14.94,2015-11-06
06/11/2015,popxocom,Online content platform for women,,New Delhi,"IDG Ventures India, Kalaari Capital, 500 Startups",Private Equity,16.6,2015-11-06
06/11/2015,spareshub,Online Vehicle Spare Parts etailer,,Pune,"Hyderabad Angels, M&S Partners",Seed Funding,3.82,2015-11-06
06/11/2015,explara,Event Ticketing platform,,Pune,"Hyderabad Angels, Singapore Angel Network, Ness Wadia",Private Equity,4.07,2015-11-06
06/11/2015,soothehealthcare,affordable Personal Healthcare Products,,Noida,Saina Nehwal,Seed Funding,0.0,2015-11-06
06/11/2015,yuvihospitality,Premium dining Lounges & restaurants,,Gurgaon,Chandralekha Construction Pvt. Ltd.,Private Equity,124.5,2015-11-06
09/11/2015,appvirality,Mobile Growth Hacking\\nPlatform,,Hyderabad,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,\\xc2\\xa0 Mohit Saxena, Internet Group, TNN Capital and others",Seed Funding,4.15,2015-11-09
09/11/2015,istarskilldevelopment,Skill Training Startup,,Bangalore,"Michael & Susan Dell Foundation, Unitus Seed Fund",Private Equity,12.45,2015-11-09
09/11/2015,bigstylistcom,Beauty and Wellness Marketplace,,Mumbai,Info Edge,Private Equity,8.3,2015-11-09
09/11/2015,zilingo,Marketplace App for Bangkok,,Bangalore/ Bangkok,"Sequoia India, BEENEXT Ventures, Kunal Shah & Sandeep Tandon",Private Equity,15.77,2015-11-09
